"property1","index","url"
"£135.00","1","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150608"
"£135.00","2","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150608"
"£105.00","3","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150608"
"£35.00","4","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150608"
"£35.00","5","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150608"
"£35.00","6","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150608"
"£35.00","7","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150608"
"£25.00","8","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150608"
"£35.00","9","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150608"
"£25.00","10","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150608"
"£25.00","11","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150608"
"£25.00","12","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150608"
"£135.00","13","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150609"
"£135.00","14","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150609"
"£105.00","15","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150609"
"£90.00","16","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150609"
"£35.00","17","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150609"
"£35.00","18","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150609"
"£35.00","19","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150609"
"£70.00","20","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150609"
"£35.00","21","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150609"
"£25.00","22","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150609"
"£35.00","23","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150609"
"£35.00","24","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150609"
"£25.00","25","http://www.thetrainline.com/farefinder/BestFares.aspx?orig=MAN&dest=EUS&out=20150609"
